x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 0
x = 509, y = 0
x = 509, y = 0
x = 0, y = 0
x = 0, y = 406
x = 0, y = 401
x = 0, y = 400
x = 638, y = 517
x = 1023, y = 517
x = 1023, y = 517
x = 1023, y = 517
x = 1023, y = 517
x = 509, y = 0
x = 509, y = 0
x = 0, y = 0
x = 0, y = 0
x = 0, y = 517
x = 55, y = 1023
x = 509, y = 1023
x = 887, y = 1023
x = 1023, y = 576
x = 1023, y = 446
x = 1023, y = 0
x = 509, y = 0
x = 74, y = 0
x = 0, y = 0
x = 0, y = 503
x = 0, y = 1023
x = 509, y = 1023
x = 509, y = 1023
x = 509, y = 1023
x = 970, y = 1023
x = 1023, y = 975
x = 1023, y = 961
x = 1023, y = 961
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 1023, y = 1023
x = 1023, y = 1023
x = 1023, y = 1023
x = 1023, y = 1023
x = 1023, y = 1023
x = 1023, y = 1023
x = 1023, y = 1023
x = 1023, y = 1023
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
x = 509, y = 517
